TICKER,CUR_MKT_CAP,TRADE_DATE
TCM,3607.64791,2025-07-22
TLH,669.4273000000001,2025-07-22
VNZ,11733.16342,2025-07-22
ADS,624.90887,2025-07-22
GAS,159067.4912,2025-07-22
ADG,215.94326,2025-07-22
CSM,1455.93493,2025-07-22
DXV,38.412,2025-07-22
HMC,320.77499,2025-07-22
MSB,34840.0,2025-07-22
NSC,1502.62112,2025-07-22
PIT,101.74521,2025-07-22
PNC,313.18118,2025-07-22
TCD,926.86497,2025-07-22
TTE,1138.19148,2025-07-22
DAG,84.43975999999999,2025-07-22
FCN,2345.84117,2025-07-22
KMR,179.73387,2025-07-22
MSH,4197.03405,2025-07-22
OCH,1280.0,2025-07-22
SBA,1808.599,2025-07-22
SGP,6423.96034,2025-07-22
SLS,1879.07425,2025-07-22
SVT,215.52168,2025-07-22
VEF,30654.5932,2025-07-22
VHC,12928.501960000001,2025-07-22
VPH,553.07524,2025-07-22
CMF,2510.19,2025-07-22
ELC,2278.80154,2025-07-22
FUE,103.038,2025-07-22
FUE,349.915,2025-07-22
LAS,2211.98544,2025-07-22
SNZ,11821.84252,2025-07-22
VJC,55081.872670000004,2025-07-22
ASG,1579.65324,2025-07-22
BVS,2671.40537,2025-07-22
CKG,2297.66687,2025-07-22
CTG,244871.62371,2025-07-22
DHG,13401.47228,2025-07-22
DLG,867.9981899999999,2025-07-22
DMC,2170.46656,2025-07-22
GDA,2305.2993500000002,2025-07-22
GEG,6180.8194,2025-07-22
HHV,6466.76296,2025-07-22
HVX,136.20282,2025-07-22
L14,1092.41975,2025-07-22
LHG,1795.4311599999999,2025-07-22
LIC,2943.0,2025-07-22
NTP,11562.18367,2025-07-22
SAS,5778.4677,2025-07-22
SFI,656.42492,2025-07-22
SGT,2530.85486,2025-07-22
TBC,2381.25,2025-07-22
TBD,3517.39553,2025-07-22
TVS,3248.0580800000002,2025-07-22
VFC,3511.93034,2025-07-22
VGS,1919.5536399999999,2025-07-22
